id,text,amr,ground_truth,response_final,pred,response_final_amr,pred_amr,label_direct,label_amr,did_llm_failed,helpfulness
logic_test_0010,"“The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.”","(c / cause-01~10
    :ARG0 (c3 / crow-01~3
        :ARG0 (r3 / rooster~2)
        :time (b / before~5
            :op1 (r / rise-01~8
                :ARG1 (s / sun~16))
            :time (a / always~4)))
    :ARG1 (c2 / cause-01~14
        :ARG0 (r4 / rooster~13
            :ARG0-of (c4 / crow-01~12))
        :ARG1 (r2 / rise-01~18
            :ARG1 s)))
",false causality,The fallacy type present in the text is False Causality.,false causality,The fallacy type present in the text is False Causality.,false causality,1,1,0,0
logic_test_0011,1 = a number; 2 = a number; therefore 1 = 2.,"(c / cause-01~10
    :ARG0 (e2 / equal-01~6
        :ARG1 2~5
        :ARG2 (n / number~3))
    :ARG1 (e3 / equal-01~12
        :ARG1 1~11
        :ARG2 2~13)
    :rel (e / equal-01~1
        :ARG1 1~0
        :ARG2 n))
",faulty generalization,The fallacy present in the text is a Deductive Fallacy.,fallacy of logic,"The fallacy type present in the text is the Deductive Fallacy. The argument is based on a faulty deduction, where the conclusion is reached by incorrectly applying the transitive property of equality. The",fallacy of logic,0,0,1,0
logic_test_0012,“against the man;” attacking the individual rather than their position.,"(a / and~4
    :op1 (o / oppose-01~1
        :ARG1 (m / man~3))
    :op2 (a2 / attack-01~6
        :ARG1 (i / individual~8)
        :ARG1-of (i2 / instead-of-91~9
            :ARG2 (t / thing~12
                :ARG2-of (p / position-02~12
                    :ARG0 i)))))
",ad hominem,"The fallacy type present in the text is ""Ad Hominem.""",ad hominem,"The fallacy type present in the text is ""Ad Hominem."" This fallacy occurs when someone attacks the individual making an argument rather than addressing the argument itself. In this case, the text",ad hominem,1,1,0,0
logic_test_0013,"Makes the claim that EVERYONE is using this product, and you should, too.","(a / and~10
    :op1 (c / claim-01~2
        :ARG1 (u / use-01~6
            :ARG0 (e / everyone~4)
            :ARG1 (p / product~8
                :mod (t / this~7))))
    :op2 (r / recommend-01~12
        :ARG2 (y / you~11)
        :mod (t2 / too~14)))
",ad populum,"The fallacy type present in the text is ""Ad Populum.""",ad populum,"The fallacy type present in the text is ""Ad Populum."" This fallacy occurs when a claim is made based on the popularity or widespread acceptance of a belief or action, rather than providing evidence",ad populum,1,1,0,0
logic_test_0014,I can't trust the mayor or the governor. All politicians must be liars.,"(m2 / multi-sentence~9
    :snt1 (p5 / possible-01~1
        :ARG1 (t / trust-02~3
            :ARG0 (i / i~0)
            :ARG1 (o2 / or~6
                :op1 (p / person~5
                    :ARG0-of (h / have-org-role-91~5
                        :ARG2 (m / mayor~5)))
                :op2 (p2 / person~8
                    :ARG0-of (h2 / have-org-role-91~8
                        :ARG2 (g / governor~8)))))
        :polarity -~2)
    :snt2 (o / obligate-01~12
        :ARG2 (p3 / person~14
            :ARG0-of (l / lie-08~14)
            :domain (p4 / politician~11
                :mod (a / all~10)))))
",faulty generalization,The fallacy present in the text is a Faulty Generalization.,faulty generalization,"The fallacy type present in the text is Faulty Generalization. This is because the statement ""All politicians must be liars"" makes a broad generalization about all politicians based on the distrust of",faulty generalization,1,1,0,0
logic_test_0015,"""I'm French and I don't like cheese.""
""All French like cheese.""
""I don't.""
""Then you must not really be French.""","(m / multi-sentence~23
    :snt1 (a2 / and~4
        :op1 (p / person~3
            :domain (i / i~1)
            :mod (c3 / country~3
                :name (n / name~3
                    :op1 ""France""~3)))
        :op2 (d / dislike-01~8
            :ARG0 i
            :ARG1 (c / cheese~9)))
    :snt2 (l / like-01~15
        :ARG0 (p2 / person~14
            :mod (a / all~13)
            :mod c3)
        :ARG1 c
        :ARG1 (c2 / cheese~16))
    :snt3 (l2 / like-01~15
        :ARG0 c2
        :ARG0 (i2 / i~20)
        :ARG1 c
        :polarity -~22)
    :snt4 (i3 / infer-01~26
        :ARG1 (o / obligate-01~28
            :ARG1 (p3 / person~32
                :ARG1-of (r / real-04~30)
                :domain (y / you~27)
                :mod (c4 / country~32
                    :name (n2 / name~32
                        :op1 ""France""~32))
                :polarity -~29))))
",intentional,The fallacy present in the text is the Fallacy of Extension.,fallacy of extension,"The fallacy type present in the text is the Fallacy of Relevance. Specifically, it can be classified as an Ad Hominem fallacy. This is because the response ""Then you must",fallacy of relevance,0,0,1,0
logic_test_0016,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?,"(m / multi-sentence~15
    :snt1 (g / get-01~4
        :ARG0 (e / everyone~0)
        :ARG1 (p / phone~8
            :ARG1-of (s / smart-06~7)
            :ARG1-of (n / new-01~6))
        :time (c2 / come-out-09~11
            :ARG1 p
            :time (w / weekend~14
                :mod (t / this~13))))
    :snt2 (c / cause-01~16
        :ARG0 (a / amr-unknown~16)
        :ARG1 (g2 / get-01~4
            :ARG0 (y / you~18)
            :ARG1 p
            :polarity -~16)))
",ad populum,The fallacy type present in the text is Ad Populum.,ad populum,"The fallacy type present in the text is ""Ad Populum."" This fallacy occurs when someone argues that a claim must be true because a large number of people believe it or are doing it.",ad populum,1,1,0,0
logic_test_0017,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.,"(m / multi-sentence~5
    :snt1 (r / resemble-01~2
        :ARG1 (c / camp~0)
        :ARG2 (t / train-01~4
            :mod (b / basic~3)))
    :snt2 (e / equal-01~8
        :ARG1 (p / publication~7
            :name (n2 / name~7
                :op1 ""America""~7))
        :ARG2 (c2 / camp~11
            :name (n / name~7
                :op1 ""Boot""~10
                :op2 ""Camp""~11))))
",fallacy of logic,The fallacy type present in the text is Faulty Generalization.,faulty generalization,The fallacy type present in the text is False Analogy.,,0,0,1,0
logic_test_0018,We cannot listen to John’s opinion on global warming because he is a tree hugger.,"(p3 / possible-01~1
    :ARG1 (l / listen-01~2
        :ARG0 (w2 / we~0)
        :ARG1 (t / thing~5
            :ARG1-of (o / opine-01~5
                :ARG0 (p / person~4
                    :name (n / name~4
                        :op1 ""John""~4))
                :topic (w / warm-01~8
                    :ARG1 (g / globe~7)))))
    :ARG1-of (c / cause-01~9
        :ARG0 (p2 / person~14
            :ARG0-of (h / hug-01~14
                :ARG1 (t2 / tree~13))
            :domain p))
    :polarity -~1)
",ad hominem,The fallacy type present in the text is Ad Hominem.,ad hominem,The fallacy type present in the text is Ad Hominem.,ad hominem,1,1,0,0
logic_test_0019,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,"(r / raise-01~3
    :ARG0 (p2 / plan-01~1
        :ARG0 (p / person~0
            :name (n / name~0
                :op1 ""Obama""~0)))
    :ARG1 (t / tax-01~4)
    :ARG2 (a / at-least~7
        :op1 (m / monetary-quantity~8
            :quant 900000000~10
            :unit (d2 / dollar~8)))
    :duration (t2 / temporal-quantity~14
        :quant 100~13
        :ord (o / ordinal-entity~12
            :value 1~12)
        :poss p
        :unit (d / day~14)))
",intentional,The fallacy present in the text is a False Causality fallacy.,false causality,"Based on the given text and its AMR, the fallacy type present in the text is a Faulty Generalization. This is because the statement ""Kerry's plan will raise taxes by at",faulty generalization,0,0,1,0
logic_test_0020,Repeating the same thing as if you’re proving something,"(r / repeat-01~0
    :ARG0 (y / you~6)
    :ARG1 (t / thing~3
        :ARG1-of (s / same-01~2))
    :ARG1-of (r2 / resemble-01~4
        :ARG2 (p / prove-01~7
            :ARG0 y
            :ARG1 (s2 / something~8))))
",circular reasoning,"The fallacy type present in the text is the ""Circular Claim"" fallacy. This fallacy occurs when someone repeats the same claim or statement without providing any new evidence or reasoning to support it,",circular reasoning,"The fallacy type present in the text is the ""Circular Claim"" fallacy. This fallacy occurs when a statement is used to support itself or is circular in its reasoning. In this case,",circular reasoning,1,1,0,0
logic_test_0021,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool.""","(g / get-01~4
    :ARG0 (i / i~1)
    :ARG1 (p / product~12
        :name (n / name~12
            :op1 ""iPhone""~12))
    :ARG1-of (c / cause-01~7
        :ARG0 (a / and~13
            :op1 (h / have-03~10
                :ARG0 (e2 / everybody~8
                    :mod (e / else~9))
                :ARG1 p)
            :op2 (c2 / cool-04~16
                :ARG1 p))))
",ad populum,The fallacy type present in the text is Ad Populum.,ad populum,The fallacy type present in the text is Ad Populum.,ad populum,1,1,0,0
logic_test_0022,"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses.","(m / multi-sentence~8
    :rel -~26
    :snt1 (h / have-03~2
        :ARG0 (c3 / country~1
            :name (n / name~1
                :op1 ""Russia""~1))
        :ARG1 (r / record~7
            :ARG1-of (t / terrible-01~4)
            :mod (r2 / right-05~6
                :ARG1 (h4 / human~5))))
    :snt2 (h2 / have-concession-91~23
        :ARG1 (b2 / bad-07~28
            :ARG1 c3
            :polarity -~26)
        :ARG2 (d / do-02~17
            :ARG0 (c4 / country~15
                :name (n2 / name~14
                    :op1 ""United""~14
                    :op2 ""States""~15))
            :ARG0-of (c / cause-01~31
                :ARG1 (b3 / bad-07~28
                    :ARG1 c3
                    :polarity -~26))
            :ARG1 (t2 / thing~21
                :quant (p2 / plenty~18)
                :ARG1-of (b / bad-07~20)))
        :mod (w / well~11))
    :time (c2 / confront-01~43
        :ARG1 (p / person~41
            :ARG0-of (h3 / have-org-role-91~41
                :ARG2 (p3 / president~41)))
        :ARG2 (a / abuse-01~49
            :ARG0 c3
            :ARG1 (r3 / right-05~48
                :ARG1 (h5 / human~47)))))
",fallacy of relevance,"The fallacy present in the text is the Fallacy of Relevance, specifically the Tu Quoque fallacy. This fallacy occurs when someone attempts to justify or dismiss a behavior or action by pointing",fallacy of relevance,The fallacy type present in the text is an example of the Ad Hominem fallacy. This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In,ad hominem,1,0,0,-1
logic_test_0023,"""The Philippines is in poverty because of poor people.""","(p2 / poor~5
    :ARG1-of (c / cause-01~6
        :ARG0 (p / person~9
            :mod (p3 / poor~8)))
    :domain (c2 / country~2
        :name (n / name~2
            :op1 ""Philippines""~2)))
",circular reasoning,The fallacy type present in the text is Faulty Generalization.,faulty generalization,The fallacy type present in the text is Faulty Generalization. This is because the text makes a generalization that the entire country of the Philippines is in poverty solely based on the existence of poor,faulty generalization,0,0,1,0
logic_test_0024,"Thomas: ""Dating apps are an effective way to meet potential dates. With people's busy work schedules nowadays, technology can help you make connections.""
Nina: ""Dating apps are dangerous! Most people are catfished, and guys usually pretend to be so much better than they really are online. If we're so busy, we won't have time for any of that, anyway.""
What fallacy is Nina leaning toward?","(m5 / multi-sentence~57
    :rel (p6 / possible-01~23
        :ARG1 (h3 / help-01~24
            :ARG0 (t / technology~22)
            :ARG1 (c / connect-01~27
                :ARG1 (y / you~25))
            :ARG2 y)
        :condition (s3 / schedule-01~19
            :ARG0 (p2 / person~15)
            :ARG1 (w3 / work-01~18
                :ARG0 p2)
            :ARG1-of (b2 / busy-01~17
                :time (n4 / nowadays~20))))
    :rel (a2 / and~43
        :op1 (f2 / fish-01~41
            :ARG1 (p4 / person~39
                :mod (m3 / most~38)))
        :op2 (p8 / pretend-01~46
            :ARG0 (g2 / guy~44)
            :ARG1 (h2 / have-degree-91~51
                :ARG1 g2
                :ARG2 (g / good-02~51
                    :ARG1 g2)
                :ARG3 (m2 / more~51
                    :quant (m4 / much~50
                        :degree (s4 / so~49)))
                :ARG4 (b / be-located-at-91~55
                    :ARG1 g2
                    :ARG1-of (r / real-04~54)
                    :ARG2 (o / online~56)))
            :mod (u / usual~45)))
    :snt1 (s / say-01~1
        :ARG0 (p / person~0
            :name (n / name~0
                :op1 ""Thomas""~0))
        :ARG1 (w / way~8
            :ARG0-of (e / effective-04~7
                :ARG1 (m / meet-02~10
                    :ARG1 (d2 / date-02~12
                        :mod (p7 / potential~11))))
            :domain (a5 / appall-01~4
                :mod (d / date-02~3))))
    :snt2 s
    :snt3 (s2 / say-01~31
        :ARG0 (p3 / person~30
            :name (n2 / name~30
                :op1 ""Nina""~30))
        :ARG1 (e2 / endanger-01~36
            :ARG0 (a6 / appall-01~34
                :mod (d3 / date-02~33))))
    :snt4 s2
    :snt5 (h / have-03~67
        :ARG0 (w2 / we~64)
        :ARG1 (t3 / time~68
            :purpose (t2 / that~72
                :mod (a3 / any~70)))
        :condition (b3 / busy-01~62
            :ARG1 w2
            :degree (s5 / so~61))
        :mod (a4 / anyway~74)
        :polarity -~66)
    :snt6 (f / fallacy~78
        :ARG2-of (l / lean-01~81
            :ARG0 (p5 / person~80
                :name (n3 / name~80
                    :op1 ""Nina""~80)))
        :mod (a / amr-unknown~77)))
",fallacy of extension,Nina is leaning toward the fallacy of Faulty Generalization. She is making a sweeping generalization that most people are catfished and that guys usually pretend to be better than they really are,faulty generalization,"The fallacy present in the text is the ""Faulty Generalization"" fallacy. Nina makes a sweeping generalization by stating that ""Most people are catfished, and guys usually pretend to",faulty generalization,0,0,1,0
logic_test_0025,"""My opponent claims that water pollution is endangering our city waters. But have you thought about all of the air pollution in China? Where they have to wear masks sometimes in the city? That's what we really need to worry about.""","(m2 / multi-sentence~12
    :snt1 (c3 / claim-01~3
        :ARG0 (p / person~2
            :ARG0-of (o2 / oppose-01~2
                :ARG1 (i / i~1)))
        :ARG1 (e / endanger-01~8
            :ARG0 (p2 / pollute-01~6
                :ARG1 (w / water~5))
            :ARG1 (w2 / water~11
                :mod (c / city~10
                    :poss (w3 / we~9)))))
    :snt2 (c4 / contrast-01~13
        :ARG2 (t3 / think-01~16
            :ARG0 (y / you~15)
            :ARG1 (p3 / pollute-01~22
                :ARG1 (a / air~21)
                :location (c5 / country~24
                    :name (n / name~24
                        :op1 ""China""~24))
                :mod (a2 / all~18))
            :polarity (a3 / amr-unknown~25)
            :polarity (a4 / amr-unknown~36)))
    :snt3 (o / obligate-01~28
        :ARG1 (t2 / they~27)
        :ARG2 (w5 / wear-01~30
            :ARG0 t2
            :ARG1 (m / mask-01~31)
            :location (c2 / city~35)
            :time (s / sometimes~32)))
    :snt4 (n2 / need-01~42
        :ARG0 (w4 / we~40)
        :ARG1 (w6 / worry-02~44
            :ARG0 w4
            :ARG1 (t / that~37))
        :ARG1-of (r / real-04~41)))
",fallacy of relevance,"The fallacy present in the text is a Fallacy of Relevance, specifically a Red Herring. The speaker diverts attention from the issue of water pollution in their city by bringing up air pollution",fallacy of relevance,The fallacy type present in the text is the Fallacy of Relevance.,fallacy of relevance,1,1,0,0
logic_test_0026,"""You're a Westener and you're an idiot.""","(a / and~5
    :op1 (p / person~4
        :domain (y / you~1)
        :mod (w / world-region~4
            :name (n / name~4
                :op1 ""West""~4)))
    :op2 (i / idiot~9
        :domain y))
",ad hominem,"The fallacy present in the text is ""Ad Hominem.""",ad hominem,"The fallacy type present in the text is Ad Hominem. This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case, the speaker dismiss",ad hominem,1,1,0,0
logic_test_0027,Researchers are frauds who don’t earn their salaries,"(d / defraud-01~2
    :ARG0 (p / person~0
        :ARG0-of (r / research-01~0)
        :ARG0-of (e / earn-01~5
            :ARG1 (s / salary~7
                :poss p)
            :polarity -~4)))
",ad hominem,"The fallacy type present in the text is ""Ad Hominem.""",ad hominem,"The fallacy type present in the text is Ad Hominem. This is because the text attacks the character or credibility of researchers by calling them ""frauds"" and implying that they do not earn",ad hominem,1,1,0,0
logic_test_0028,The child did not do his chores so therefore all children are lazy.,"(d / do-02~4
    :ARG0 (c2 / child~1)
    :ARG0-of (c / cause-01~8
        :ARG1 (l / lazy~12
            :domain (c3 / child~10
                :mod (a / all~9))))
    :ARG1 (c4 / chore~6
        :poss c2)
    :polarity -~3)
",faulty generalization,The fallacy type present in the text is Faulty Generalization.,faulty generalization,"The fallacy type present in the text is Faulty Generalization. This is because the text makes a hasty generalization by assuming that because one child did not do his chores, all children are",faulty generalization,1,1,0,0
logic_test_0029,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates","(s2 / sure-02~10
    :ARG1 (c5 / communicate-01~12
        :ARG0 (h2 / he~8)
        :ARG1 (c2 / claim-01~16
            :ARG1-of (t / true-01~15
                :polarity -~15)
            :ARG1-of (b / bias-01~13)
            :ARG3 (p / person~21
                :ARG0-of (h / have-rel-role-91~21
                    :ARG1 h2
                    :ARG2 (c3 / classmate~21)))))
    :ARG1-of (c / cause-01~0
        :ARG0 (c4 / come-03~1
            :ARG1 h2
            :ARG2 (p2 / political-party~6
                :ARG1-of (s / same-01~4)))))
",ad hominem,The fallacy present in the text is Ad Hominem.,ad hominem,"The fallacy type present in the text is the Ad Hominem fallacy. This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case,",ad hominem,1,1,0,0
